Panaspis wahlbergi,MCZF 38852,CAS 234194,"Limpopo Province, SA",KU236724,KU298732,KU298812,KU298681
Panaspis wahlbergi,AMB 8279,MCZR 184432,"Limpopo Province, SA",KU236723,KU298731,KU298811,—
Panaspis wahlbergi,AMB 8293,MCZR 184443,"Limpopo Province, SA",KU236722,K  U298730,KU298810,KU298680
Panaspis wahlbergi,MCZF 38868,CAS 234209,"Limpopo Province, SA",KU236721,KU298729,KU298809,KU298679
Panaspis wahlbergi,TJH 3253,TCWC 95588,"Kimberley, Northern Cape, SA",KU236760,KU298767,KU298843,KU298703
Panaspis wahlbergi,TJH 3213,TCWC 95563,"Kimberley, Northern Cape, SA",KU236759,KU298766,KU298842,KU298702
Panaspis wahlbergi,WRB inh18,PEM R21757,"Inhambane, Mozambique",KU236783,KU298788,KU298863,—
Panaspis wahlbergi,WRB inh19,PEM R21758,"Inhambane, Mozambique",KU236784,KU298789,KU298864,—
Panaspis wahlbergi,WRB inh30,PEM R21759,"Inhambane, Mozambique",KU236785,KU298790,KU298865,—
Broadleysaurus major,—,—,—,AJ416922,DQ090881,—,HM161157
Xantusia vigilis,—,—,—,DQ249035,DQ249101,HQ426258,—
Plestiodon inexpectatus,—,—,—,AY217990,AY217837,HQ426253,AY662632
Plestiodon japonicus,—,—,—,—,EU203045,—,HM161196
Tiliqua rugosa,—,—,—,AY308319,—,EF534856,—
